principal_id	id	name	source_state	classification	legal_form	sector	contact_details_json	ceo_name	business_or_interest	lobbying_interests_prose
11108	WI-principal-11108	Leaders Igniting Transformation Action Fund, Inc.	WI				"[{""type"":""address"",""value"":""2201 N Dr. Martin Luther King Dr\nMilwaukee, WI 53212"",""note"":""""},{""type"":""phone"",""value"":""414-310-9859"",""note"":""""},{""type"":""email"",""value"":""amanda@litmke.org"",""note"":""""}]"		Electoral organizing, public policy advocacy, and leadership development.	Education, University System Funding and Policies, State Budget, Voting Laws, Democracy Reform, and Criminal Justice.
11109	WI-principal-11109	Wisconsin Builders Association	WI				"[{""type"":""address"",""value"":""660 John Nolen Drive, #320\nMadison, WI 53713"",""note"":""""},{""type"":""phone"",""value"":""(608) 242-5151"",""note"":""""},{""type"":""email"",""value"":""bboycks@wisbuild.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wisbuild.org"",""note"":""""}]"	Brad Boycks	Single family, multifamily, and commercial building, remodeling, and land development.	New construction, remodeling, tax issues, review of all building codes, and regulatory issues
11110	WI-principal-11110	One City Schools, Inc.	WI				"[{""type"":""address"",""value"":""1707 W Broadway\nMonona, WI 53713"",""note"":""""},{""type"":""phone"",""value"":""608-416-0410"",""note"":""""},{""type"":""email"",""value"":""champton@onecityschools.org"",""note"":""""},{""type"":""website"",""value"":""http://onecityschools.org"",""note"":""""}]"		One City Schools operates within the early childhood and K-12 education industries. We also have partnerships with higher education to support teacher development, recruitment and training.	We will lobby for additional funding for early childhood education, and for additional per pupil and categorical funding for public charter schools. Additionally, we will lobby for increased funding for reading initiatives, teacher recruitment, retention and development, and STEM education.
11111	WI-principal-11111	Wisconsin Association of Health Plans	WI				"[{""type"":""address"",""value"":""10 E Doty St, Ste. 503\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""6082558599"",""note"":""""},{""type"":""email"",""value"":""kyle@wihealthplans.org"",""note"":""""},{""type"":""website"",""value"":""http://wihealthplans.org"",""note"":""""}]"	John Nygren	The Wisconsin Association of Health Plans represents community-based health plans on state legislative and regulatory matters.	The Wisconsin Association of Health Plans represents community-based health plans on issues relating to: health insurance legislation and regulation; health care access and cost; State Health Plan competition, benefits, choice and cost; Medical Assistance benefits, eligibility and funding; taxation; health care coverage mandates; and, any other matters relating to health insurance and health care. The Association works to preserve the advantages of a competitive health insurance marketplace.
11112	WI-principal-11112	JPMorgan Chase Holdings LLC	WI				"[{""type"":""address"",""value"":""383 Madison Avenue\nNew York, NY 10179"",""note"":""""},{""type"":""phone"",""value"":""(312) 954-3232"",""note"":""""},{""type"":""email"",""value"":""rebecca.novak@jpmchase.com"",""note"":""""}]"	Jamie Dimon	Financial Services	Issue and matters related to fees on credit and debit card transactions. Issues and matters related to the regulation of banking and trust services. Issues and matters related to providing financial services. Issues and matters related to taxation and state tax policy. Issues and matters related to foreclosure policy.
11113	WI-principal-11113	American Resort Development Association	WI				"[{""type"":""address"",""value"":""4901 Vineland Road, Suite 635\nOrlando, FL 32811"",""note"":""""},{""type"":""phone"",""value"":""(407) 245-7601"",""note"":""""},{""type"":""email"",""value"":""CStewart@arda.org"",""note"":""""},{""type"":""website"",""value"":""http://www.arda.org"",""note"":""""}]"	Howard Nusbaum	Trade association representing the vacation ownership and resort development industries.	All issues related to the development or regulation of timeshares in Wisconsin.
11114	WI-principal-11114	Augusta Enterprises, LLC	WI				"[{""type"":""address"",""value"":""4015 80th Street\nKenosha, WI 53142"",""note"":""""},{""type"":""phone"",""value"":""(262) 694-2327"",""note"":""""},{""type"":""email"",""value"":""smills@beardevelopment.com"",""note"":""""}]"	Stephen R.  Mills	Development of commercial and residential property	All matters related to property development including environmental regulation.
11115	WI-principal-11115	Association of Wisconsin Snowmobile Clubs, Inc.	WI				"[{""type"":""address"",""value"":""529 Trail Side Dr., Ste 200\nDeForest, WI 53532"",""note"":""""},{""type"":""phone"",""value"":""(608) 846-5530"",""note"":""""},{""type"":""email"",""value"":""awsc@awsc.org"",""note"":""""},{""type"":""website"",""value"":""https://www.awsc.org/"",""note"":""""}]"	Lori  Heideman	Preservation and promotion of snowmobiling in Wisconsin	All matters affecting snowmobiling including but not limited to: snowmobile operation, safety programs, permitting and registration requirements, trail maintenance, and snowmobile recreation council matters.
11116	WI-principal-11116	Betty Brinn Children's Museum	WI				"[{""type"":""address"",""value"":""929 E. Wisconsin Avenue\nMilwaukee, WI 53202"",""note"":""""},{""type"":""phone"",""value"":""414-207-8923 ext. 440"",""note"":""""},{""type"":""email"",""value"":""tquealy@bbcmkids.org"",""note"":""""},{""type"":""website"",""value"":""https://bbcmkids.org"",""note"":""""}]"		N/A	Matters related to public funding for cultural institutions.
11117	WI-principal-11117	Community Medical Services	WI				"[{""type"":""address"",""value"":""8444 N 90th Street, Suite 100\nScottsdale, AZ 85258"",""note"":""""},{""type"":""phone"",""value"":""608-258-4257"",""note"":""""},{""type"":""email"",""value"":""lesley.wimmer@cmsgiveshope.com"",""note"":""""}]"	Nick  Stavros	Community Medical Services is an opioid treatment program operating in Wisconsin and 12 additional states providing medications, counseling, and recovery support services for individuals with opioid use disorder.	Matters related to opioid settlement funds.
11119	WI-principal-11119	Johnsonville, LLC	WI				"[{""type"":""address"",""value"":""PO Box 906\nSheboygan Falls, WI 53085"",""note"":""""},{""type"":""phone"",""value"":""(920) 453-6900"",""note"":""""},{""type"":""email"",""value"":""NGanfield@johnsonville.com"",""note"":""""},{""type"":""website"",""value"":""https://www.johnsonville.com"",""note"":""""}]"	Nick  Meriggioli	Production and marketing of food products	Matters related to the production and marketing of food products
11120	WI-principal-11120	Kimberly-Clark Corporation	WI				"[{""type"":""address"",""value"":""1400 Holcomb Bridge Road\nRoswell, GA 30076"",""note"":""""},{""type"":""phone"",""value"":""6789380748"",""note"":""""},{""type"":""email"",""value"":""branch.sinkule@kcc.com"",""note"":""""},{""type"":""website"",""value"":""http://www.kcc.com"",""note"":""""}]"	Michael Hsu	Kimberly-Clark Corporation is a U.S. headquartered multinational manufacturer of consumer products.	The manufacturing, transporting, use or taxation of personal care products and paper-based consumer products, as well as other policies that may affect the manufacturing or sales of products or services by Kimberly-Clark Corporation, including its subsidiaries and affiliates.
11121	WI-principal-11121	Literacy Lab Inc.	WI				"[{""type"":""address"",""value"":""1400 16th St., NW, #410\nWashington D.C. , DC 20036"",""note"":""""},{""type"":""phone"",""value"":""(202) 567-7082"",""note"":""""},{""type"":""email"",""value"":""morlins@theliteracylab.org"",""note"":""""},{""type"":""website"",""value"":""https://theliteracylab.org/"",""note"":""""}]"		Matters related to funding of literacy and educator recruitment programs.	Matters related to funding of literacy and educator recruitment programs.
11122	WI-principal-11122	The Marcus Corporation	WI				"[{""type"":""address"",""value"":""100 E. Wisconsin Avenue, Suite 1900\nMilwaukee, WI 53202"",""note"":""""},{""type"":""phone"",""value"":""(414) 905-1216"",""note"":""""},{""type"":""email"",""value"":""stevebartelt@marcuscorp.com"",""note"":""""},{""type"":""website"",""value"":""http://www.marcuscorp.com"",""note"":""""}]"	Greg Marcus	Ownership and operation of hotels and theaters.	Matters related to regulation and support of business during the COVID pandemic.
11123	WI-principal-11123	MDFEST, INC.	WI				"[{""type"":""address"",""value"":""1724 Lawrence Drive\nDe Pere, WI 54115"",""note"":""""},{""type"":""phone"",""value"":""(920) 964-9125"",""note"":""""},{""type"":""email"",""value"":""Sroubal@festfoods.com"",""note"":""""}]"	Mark  Skogen	Grocery retail	All matters affecting the retail industry
11124	WI-principal-11124	Midwest Association of Independent Camps	WI				"[{""type"":""address"",""value"":""10523 N Pine Tree Circle\nMequon, WI 53092"",""note"":""""},{""type"":""phone"",""value"":""(262) 238-1263"",""note"":""""},{""type"":""email"",""value"":""gabe@birchtrail.com"",""note"":""""}]"	Gabe Chernov	MAIC is a group of camp professionals who are dedicated to promoting high quality standards in organized camping, while offering children and their parents the best possible camp experience.	All legislation and rulemaking that impacts private camps including DNR regulation, permitting, employment issues and more.
11125	WI-principal-11125	MTM	WI				"[{""type"":""address"",""value"":""1443 Wellington Way\nEagan , MN 55122"",""note"":""""},{""type"":""phone"",""value"":""(612) 616-2445"",""note"":""""},{""type"":""email"",""value"":""pstalboerger@mtm-inc.net"",""note"":""""}]"	Alaina Macia	Non-emergency medical transport	Matters related to the funding and structure of state support for non-emergency medical transport.
11126	WI-principal-11126	Peninsula Fiber Network	WI				"[{""type"":""address"",""value"":""1901 West Ridge Street, Suite 2\nMarquette, MI 49855"",""note"":""""},{""type"":""phone"",""value"":""906-226-2010"",""note"":""""},{""type"":""email"",""value"":""jgreenburg@pfnllc.net"",""note"":""""}]"	Scott Randall	Peninsula Fiber Network is a telecommunications carrier that provides telecommunications, transport and broadband services for governments, businesses, and other telecommunications companies.  We are also proud to partner with the public safety community to provide Next Generation 911 services (NG911) in Michigan and Wisconsin.  Our secure, redundant fiber network extends through Michigan, Northern Wisconsin, into Canada, and in conjunction with our Indatel Network Consortium partners, PFN provides network access points across much of the United States.	Matters related to broadband, funding for Next Generation 911 and other emergency services, and telecommunications policy and regulation.
11127	WI-principal-11127	Sargento	WI				"[{""type"":""address"",""value"":""One Persnickety Pl.\nPlymouth, WI 53073"",""note"":""""},{""type"":""phone"",""value"":""(920) 892-3550"",""note"":""""},{""type"":""email"",""value"":""chad.hamilton@sargento.com"",""note"":""""}]"	Louis Gentine	Wisconsin based, family owned cheese and food packaging company.	Rules and legislation relating to dairy, agricultural and food processing.
11128	WI-principal-11128	Shatterproof	WI				"[{""type"":""address"",""value"":""135 West 41st Street, 6th Floor\nNew York, NY 10036"",""note"":""""},{""type"":""phone"",""value"":""(800) 597-2557"",""note"":""""},{""type"":""email"",""value"":""kroy@shatterproof.org"",""note"":""""}]"		The organization is supported by those wishing to end the evils of addiction.	All matters related to the prevention and treatment of addiction.
11129	WI-principal-11129	The Greentree Group	WI				"[{""type"":""address"",""value"":""1360 Technology Court, Suite 100\nBeavercreek, OH 45430"",""note"":""""},{""type"":""phone"",""value"":""937-490-5500"",""note"":""""},{""type"":""email"",""value"":""jshaefer@greentreegroup.com"",""note"":""""}]"	Travis Greenwood	Provide management and technology consulting to State agencies and Municipalities to assist in implementation, transformation, and modernization efforts.	Matters related to the procurement of state IT and change management consulting.
11130	WI-principal-11130	U.S. Venture, Inc.	WI				"[{""type"":""address"",""value"":""425 Better Way\nAppleton, WI 54915"",""note"":""""},{""type"":""phone"",""value"":""(920) 470-6702"",""note"":""""},{""type"":""email"",""value"":""BCasey@usventure.com"",""note"":""""},{""type"":""website"",""value"":""http://www.usventure.com"",""note"":""""}]"	Eric Kessenich	Provider of transportation products, sustainability solutions, and insight driving the world forward.	Energy and transportation issues including, but not limited to, refined products distribution and renewable energy.
11131	WI-principal-11131	Wisconsin Alliance of YMCAs	WI				"[{""type"":""address"",""value"":""90 W. 2nd Street\nFond du Lac, WI 54935"",""note"":""""},{""type"":""phone"",""value"":""(610) 322-4913"",""note"":""""},{""type"":""email"",""value"":""jagnew@ymcafoxcities.org"",""note"":""""}]"		Taxation and tax-exempt status; and regulation of fees, licensing, etc.	The two major areas we have focused on are tax (taxation & tax-exempt status) and regulation (fees, licensing, etc.) of our YMCAs.
11132	WI-principal-11132	Aurora Health Care	WI				"[{""type"":""address"",""value"":""PO Box 341880\nMilwaukee, WI 53215"",""note"":""""},{""type"":""phone"",""value"":""815-474-3973"",""note"":""""},{""type"":""email"",""value"":""benjamin.vanpelt@aah.org"",""note"":""""}]"		Issues impacting health care financing and delivery, and community health initiatives.	Issues impacting health care financing and delivery, and community health initiatives.
11133	WI-principal-11133	Boys & Girls Clubs of Wisconsin	WI				"[{""type"":""address"",""value"":""5542 Riverview Drive\nMadison, WI 53597"",""note"":""""},{""type"":""phone"",""value"":""(608) 213-8585"",""note"":""""},{""type"":""email"",""value"":""agussert@bgcdc.org"",""note"":""""},{""type"":""website"",""value"":""http://www.bgcwisconsin.org/"",""note"":""""}]"		We serve over 134,000 youth at 158 sites in 57 cities across Wisconsin, more than any organization outside of our public school system. With two thirds of our kids living outside of Madison and Milwaukee, we support programs and funding that allow all of Wisconsin Clubs to continue to offer unique programs that promote the positive development of young people.	We focus on programs that result in measurable outcomes for youth in academic achievement, career skill building, positive mental health,  juvenile crime reduction, prevention of opioid abuse, and constructive civic engagement. We support and track legislation and budget matters that impact school age youth statewide, including stimulus funding, child care licensing, and after school program funding.
11134	WI-principal-11134	L3Harris Technologies	WI				"[{""type"":""address"",""value"":""600 Maryland Ave., SW\nWashington D.C., DC 20024"",""note"":""""},{""type"":""phone"",""value"":""(703) 245-4320"",""note"":""""},{""type"":""email"",""value"":""jayne.leighton@l3harris.com"",""note"":""""}]"	William Brown	Radio Sales	Matters related to purchase and operations of radio systems
11135	WI-principal-11135	Versiti, Inc.	WI				"[{""type"":""address"",""value"":""638 N. 18th Street\nMilwaukee, WI 53233"",""note"":""""},{""type"":""phone"",""value"":""(414) 937-6418"",""note"":""""},{""type"":""email"",""value"":""breuter@versiti.org"",""note"":""""}]"		Blood donation and research	Matters related to incentives for blood donation and blood research
11136	WI-principal-11136	Alibaba	WI				"[{""type"":""address"",""value"":""325 7th St NW Suite 700\nWashington DC, DC 20004"",""note"":""""},{""type"":""phone"",""value"":""7734258515"",""note"":""""},{""type"":""email"",""value"":""colleen.daley@alibaba-inc.com"",""note"":""""}]"	Eddie Wu	Issues that impact the Alibaba ecosystem including ecommerce, technology, and privacy.	Ecommerce and technology
11137	WI-principal-11137	American Lung Association, dba American Lung Association in Wisconsin	WI				"[{""type"":""address"",""value"":""13100 W Lisbon Rd. Suite 700\nBrookfield, WI 53005"",""note"":""""},{""type"":""phone"",""value"":""(262) 395-1700"",""note"":""""},{""type"":""email"",""value"":""molly.collins@Lung.org"",""note"":""""},{""type"":""website"",""value"":""http://www.lung.org"",""note"":""""}]"		Individual, corporate, foundation, government grants and  donations; special events.	The American Lung Association in Wisconsin supports legislative initiatives to enhance awareness and compliance with federal, state and local tobacco control policies, clean air standards and public health measures.  Specific activities include raising the state taxes on tobacco and nicotine products, funding the state tobacco prevention program at CDC recommended level, improving patient access to  affordable quality health care and reducing air pollution, indoors and outdoors.
11138	WI-principal-11138	Milwaukee Public Schools	WI				"[{""type"":""address"",""value"":""P.O. Box 2181\nMilwaukee, WI 53208"",""note"":""""},{""type"":""phone"",""value"":""(414) 475-8190"",""note"":""""},{""type"":""email"",""value"":""thielcj@milwaukee.k12.wi.us"",""note"":""""},{""type"":""website"",""value"":""http://www.milwaukee.k12.wi.us."",""note"":""""}]"		K-12 Education. Public Education. School district.	Policies that govern K-12 education or influence K-12 education including funding.
11139	WI-principal-11139	Association of State Prosecutors	WI				"[{""type"":""address"",""value"":""949 N. 9th Street\nMilwaukee, WI 532331422"",""note"":""""},{""type"":""phone"",""value"":""414-278-4653"",""note"":""""},{""type"":""email"",""value"":""dan.flaherty@da.wi.gov"",""note"":""""},{""type"":""website"",""value"":""http://www.wiasp.com"",""note"":""""}]"	Dan Flaherty	Association representing the interests of Wisconsin Assistant District Attorneys.	Legislation and administrative rules relating to Wisconsin's criminal code and affecting Assistant District Attorneys.
11140	WI-principal-11140	BioForward Inc.	WI				"[{""type"":""address"",""value"":""440 Science Drive, Ste. 403\nMadison, WI 53711"",""note"":""""},{""type"":""phone"",""value"":""608-515-5432"",""note"":""""},{""type"":""email"",""value"":""ljohnson@bioforward.org"",""note"":""""},{""type"":""website"",""value"":""http://bioforward.org"",""note"":""""}]"	Lisa Johnson	Trade association of Wisconsin biotechnology companies.	All human, plant and animal biotechnology issues such as stem cell research, cloning and drug therapy development.
11141	WI-principal-11141	Feeding Wisconsin	WI				"[{""type"":""address"",""value"":""2850 Dairy Drive\nMadison, WI 53718"",""note"":""""},{""type"":""phone"",""value"":""(608) 478-2882"",""note"":""""},{""type"":""email"",""value"":""janderson@feedingwi.org"",""note"":""""},{""type"":""website"",""value"":""http://www.feedingwi.org"",""note"":""""}]"		Food banks, emergency food organizations, grocery and food manufacturing, and agriculture	We support, advocate for, and educate elected, administration, and agency officials on state legislative and regulatory policies that will 1) increase access to fresh, nutritious food for Wisconsin families, 2) ensure a strong, accessible, and effective safety net and 3) improve the health of Wisconsin families with low-incomes. This may include, but are not limited to, issues such as agriculture, state budget, FoodShare, school breakfast and lunch, WIC, food safety, transportation, local food systems, and other human services related issues.
11142	WI-principal-11142	GFL Everglades Holdings, LLC	WI				"[{""type"":""address"",""value"":""3301 Benson Drive, Suite 601\nRaleigh, NC 27609"",""note"":""""},{""type"":""phone"",""value"":""(352) 317-0679"",""note"":""""},{""type"":""email"",""value"":""mbachhuber@glfenv.com"",""note"":""""},{""type"":""website"",""value"":""http://gflenv.com"",""note"":""""}]"	Patrick Dovigi	Solid waste collection, recycling and disposal, including biofuels and electric power generation and distribution.	Sold waste and recycling services and related issues, including biofuels and electric power generation and distribution
11143	WI-principal-11143	American Association for Marriage and Family Therapy	WI				"[{""type"":""address"",""value"":""N893 Red Tail Lane\nMerrill, WI 54452"",""note"":""""},{""type"":""phone"",""value"":""(920) 252-2818"",""note"":""""},{""type"":""email"",""value"":""amandaanderson@omftc.com"",""note"":""""}]"	Amanda Anderson	We represent Marriage and Family Therapists of Wisconsin	Matters that would increase the understanding,research and education of Marriage and Family Therapy.  Regulation of our members and areas related to mental health.
11144	WI-principal-11144	Wisconsin Auto Collision Technicians Assn. Ltd.	WI				"[{""type"":""address"",""value"":""W2548 Voilet Lane\nMerrill, WI 54452"",""note"":""""},{""type"":""phone"",""value"":""(715) 571-9482"",""note"":""""},{""type"":""email"",""value"":""info@wactal.com"",""note"":""""}]"	Andy Grundman	Collision repair	Consumer choice, insurance regulations and other issues that will affet the collision repair industry or small business.
11145	WI-principal-11145	Funeral Service & Cremation Alliance of Wisconsin	WI				"[{""type"":""address"",""value"":""PO Box 67\nMadison, WI 53701"",""note"":""""},{""type"":""phone"",""value"":""(608) 444-6214"",""note"":""""},{""type"":""email"",""value"":""erinlongmireconsulting@gmail.com"",""note"":""""},{""type"":""website"",""value"":""http://www.fsawisconsin.org"",""note"":""""}]"	Erin Longmire	Funeral service in Wisconsin.	Funeral service and related industries, such as funeral insurance, crematories.
11146	WI-principal-11146	Wisconsin Association of Professional Agricultural Consultants	WI				"[{""type"":""address"",""value"":""8426 Borgwardt Lane\nManitowoc, WI 54220"",""note"":""""},{""type"":""phone"",""value"":""(920) 758-2988"",""note"":""""},{""type"":""email"",""value"":""wapac1987@gmail.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wapac.info/"",""note"":""""}]"	Michelle Hoffman	The Wisconsin Association of Professional Agricultural Consultants (WAPAC) was formed in 1987 to provide a unified voice for professionals advising farmers in Wisconsin. WAPAC's diverse membership includes crop consultants, animal nutritionists, veterinarians, farm managers, educators and other farm industry advisors, giving the Association many sources of experience from which to tap for problem solving. WAPAC's goal is to promote  the profession of agricultural consulting, contribute to the industry and state through public service and to elevate the public's perception of the role of consultants in agriculture.	Issues affecting Wisconsin agriculture and agribusiness.
11147	WI-principal-11147	Wisconsin Cattlemen's Association	WI				"[{""type"":""address"",""value"":""957 Liberty Drive, Suite 201\nVerona, WI 53593"",""note"":""""},{""type"":""phone"",""value"":""608-228-1457"",""note"":""""},{""type"":""email"",""value"":""info@wisconsincattlemen.com"",""note"":""""}]"	Tressa Lacy	Wisconsin livestock, cattle, farming.	Any legislation which impacts the production of animals, food or the lives of the people of rural Wisconsin.
11148	WI-principal-11148	Wisconsin Farm Credit Services	WI				"[{""type"":""address"",""value"":""21088 Keswick Loop\nLakeville, MN 55044"",""note"":""""},{""type"":""phone"",""value"":""(612) 202-4925"",""note"":""""},{""type"":""email"",""value"":""perry.aasness@compeer.com"",""note"":""""}]"	Perry Aasness	Provide lending and other financial services to farmers and other agribusinesses	Business climate issues impacting Wisconsin agriculture and agribusiness. Issues affecting the financial services industry in Wisconsin.
11149	WI-principal-11149	Wisconsin Pork Association	WI				"[{""type"":""address"",""value"":""PO Box 327\nLancaster, WI 53813"",""note"":""""},{""type"":""phone"",""value"":""(608) 723-7551"",""note"":""""},{""type"":""email"",""value"":""kretallick@wppa.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wppa.org"",""note"":""""}]"	Keri Retallick	Pork producers.	Any function or activity of any branch, department or phase of state or local government; agriculture; environment; taxation; regulation or business, finance or insurance, or other topics pertaining to the general public health or welfare
11150	WI-principal-11150	Madison Area Technical College	WI				"[{""type"":""address"",""value"":""1701 Wright Street\nMadison, WI 53704"",""note"":""""},{""type"":""phone"",""value"":""(608) 246-6033"",""note"":""""},{""type"":""email"",""value"":""tcasper@madisoncollege.edu"",""note"":""""},{""type"":""website"",""value"":""http://www.madisoncollege.edu"",""note"":""""}]"		Community and Technical Higher Education:  Vocational; technical; and adult education; workforce and economic development; K-12 and higher education.	All matters affecting the technical college system.
11151	WI-principal-11151	Wisconsin Potato and Vegetable Growers Association	WI				"[{""type"":""address"",""value"":""P.O. Box 327\nAntigo, WI 54409"",""note"":""""},{""type"":""phone"",""value"":""715-623-7683"",""note"":""""},{""type"":""email"",""value"":""thoulihan@wisconsinpotatoes.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wisconsinpotatoes.com"",""note"":""""}]"	Tamas Houlihan	Promotion of potatoes and vegetables.	All matters affecting field crop production agriculture including but not limited to: fertilizer; pesticide application; water use; real estate tax; right to farm.
11152	WI-principal-11152	Wisconsin Soybean Association	WI				"[{""type"":""address"",""value"":""PO Box 2035\nMadison, WI 53701"",""note"":""""},{""type"":""phone"",""value"":""(608) 274-7522"",""note"":""""},{""type"":""email"",""value"":""akask@wisoybean.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wisoybean.org"",""note"":""""}]"	Adam Kask	The association is engaged in bringing together all persons interested in the production, marketing, distribution and utilization of soybeans and soybean products.	The association is interested in legislation and administrative rules related to biodiesel, alternative fuels, agricultural and environmental issues, and any other issues affecting Wisconsin agricultural producers and related industry.
11153	WI-principal-11153	Wisconsin Veterinary Medical Association	WI				"[{""type"":""address"",""value"":""4610 S. Biltmore Lane    Suite 107\nMadison, WI 53718"",""note"":""""},{""type"":""phone"",""value"":""(608) 257-3665"",""note"":""""},{""type"":""email"",""value"":""jcarson@wvma.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wvma.org"",""note"":""""}]"	Jo-ell Carson	Veterinary medicine.	"animal health and welfare
licensing
the practice of veterinary medicine 
public health/One Health"
11154	WI-principal-11154	Toccata Gaming International	WI				"[{""type"":""address"",""value"":""904 Bethel Circle\nWaunekee, WI 53597"",""note"":""""},{""type"":""phone"",""value"":""608/239-8646"",""note"":""""},{""type"":""email"",""value"":""Toddstimac@yahoo.com"",""note"":""""}]"	Todd Stimac	Manufacturing and developing gaming machines and software	elimination of illegal software and gaming machines     copyright infractions
11155	WI-principal-11155	Wisconsin Bankers Association	WI				"[{""type"":""address"",""value"":""4721 S. Biltmore Lane\nMadison, WI 53718"",""note"":""""},{""type"":""phone"",""value"":""(608) 441-1200"",""note"":""""},{""type"":""email"",""value"":""tfoti@wisbank.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wisbank.com"",""note"":""""}]"	Rose Oswald Poels	Wisconsin's state and nationally chartered commercial banks.	The Wisconsin Bankers Association represents the interests of Wisconsin banks and their customers on government relations matters involving banking, agricultural, economic development, environmental, taxation, real estate, consumer, insurance, and other financially related issues.
11156	WI-principal-11156	Wisconsin Health Care Association Inc.	WI				"[{""type"":""address"",""value"":""3902 Milwaukee Street, #7235\nMadison, WI 53714"",""note"":""""},{""type"":""phone"",""value"":""516-241-2879"",""note"":""""},{""type"":""email"",""value"":""rick@whcawical.org"",""note"":""""},{""type"":""website"",""value"":""http://www.whcawical.org"",""note"":""""}]"	Rick Abrams	The Wisconsin Health Care Association (WHCA) is a non-profit organization dedicated to representing, protecting and advancing the interests of Wisconsin’s long-term and post-acute care provider community and the residents they serve. The Wisconsin Center for Assisted Living (WiCAL) is a division of WHCA that advocates for assisted living facilities by helping our members provide the highest quality services to the Badger State’s frail and elderly citizens. WHCA/WiCAL represents skilled nursing facilities, assisted living facilities, Community Based Residential Facilities, Residential Care Apartment Complexes, and home health agencies.	Medical assistance reimbursement to skilled nursing and assisted living facilities. Regulation of nursing homes and assisted living facilities by the Department of Health Services and other relevant state agencies.
11157	WI-principal-11157	Wisconsin Farm Bureau Federation	WI				"[{""type"":""address"",""value"":""PO Box 5550\nMadison, WI 53705"",""note"":""""},{""type"":""phone"",""value"":""(608) 828-5720"",""note"":""""},{""type"":""email"",""value"":""fbvfareporting@wfbf.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wfbf.com"",""note"":""""}]"		Farmers and Agri Businesses	All areas affecting agriculture, farming and agri businesses
11158	WI-principal-11158	Wisconsin Agri-Business Association	WI				"[{""type"":""address"",""value"":""2801 International Lane, Suite 105\nMadison, WI 53704"",""note"":""""},{""type"":""phone"",""value"":""6082231111"",""note"":""""},{""type"":""email"",""value"":""grace@wiagribusiness.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wiagribusiness.org"",""note"":""""}]"	Grace Howe	Agribusiness industry	rural roads & bridges, rural broadband, water quality, topics concerning grain, animal feed, fertilizer, agricultural pesticides, business taxes, workforce development, agricultural regulation, environmental regulation pertaining to agriculture.
11162	WI-principal-11162	Alliant Energy	WI				"[{""type"":""address"",""value"":""4902 North Biltmore Lane\nMadison, WI 53718"",""note"":""""},{""type"":""phone"",""value"":""(202) 255-9574"",""note"":""""},{""type"":""email"",""value"":""ZacharyHill@alliantenergy.com"",""note"":""""},{""type"":""website"",""value"":""http://www.alliantenergy.com"",""note"":""""}]"	Lisa Barton	Utility company (gas, water, electric - regulated by PSCW and other state agencies) with all energy-related interests.	Legislation dealing with energy, environment, transportation, business, tax, economic development, employer/employee issues as well as agency rules affecting these same areas.
11164	WI-principal-11164	Northern States Power d/b/a Xcel Energy	WI				"[{""type"":""address"",""value"":""10 E Doty St, Suite 511\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""(608) 280-7333"",""note"":""""},{""type"":""email"",""value"":""Matthew.E.Pagel@xcelenergy.com"",""note"":""""},{""type"":""website"",""value"":""http://www.xcelenergy.com"",""note"":""""}]"	Karl Hoesly	Electric and natural gas utility.	All legislation and rules affecting existing or proposed operations of electric and/or natural gas utilities.
11165	WI-principal-11165	Wisconsin Real Estate Investors	WI				"[{""type"":""address"",""value"":""1990 Walter Court\nOshkosh, WI 54914"",""note"":""""},{""type"":""phone"",""value"":""9202796104"",""note"":""""},{""type"":""email"",""value"":""Chris@cjmassociates.org"",""note"":""""},{""type"":""website"",""value"":""http://WAAonline.org"",""note"":""""}]"	Corina Eufinger	Residential, commercial, self-storage, short- term, mobile homes rental property and the practice there of.	Any statutes, administrative rules, and legal cases concerning the rental industry.
11166	WI-principal-11166	Wisconsin Conservation Voters	WI				"[{""type"":""address"",""value"":""133 S. Butler St. Suite 320\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""(608) 208-1130"",""note"":""""},{""type"":""email"",""value"":""jennifer@conservationvoters.org"",""note"":""""},{""type"":""website"",""value"":""http://www.conservationvoters.org"",""note"":""""}]"		Natural resource concerns in the state budget, energy policy, water quality and quantity, air quality, open spaces, other conservation concerns, election protection and campaign finance reform.	We advocate for safe drinking water by reducing PFAS, lead, and agricultural pollution.  We support efforts to expand clean energy options at the state and local level.  We support efforts to implement statewide climate change solutions.  We support efforts to have fair maps adopted and make voting safe, fair, and easy for all people.
